nom,wiki,email_pattern
Université d'Aix-Marseille,63 948,/wiki/Université_d'Aix-Marseille,prenom.nom@univ-amu.fr
Université de Picardie,26 721,/wiki/Université_de_Picardie,@u-picardie.fr
Université d'Angers,22 887,/wiki/Université_d'Angers,prenom.nom@univ-angers.fr
Université des Antilles,10 116,/wiki/Université_des_Antilles,prenom.nom@univ-antilles.fr
Université d'Artois,11 529,/wiki/Université_d'Artois,prenom.nom@univ-artois.fr
Université d'Avignon et des Pays de Vaucluse,6 768,/wiki/Université_d'Avignon_et_des_Pays_de_Vaucluse,@univ-avignon.fr
Université de Franche-Comté,20 506,/wiki/Université_de_Franche-Comté
Université de Bordeaux,50 174,/wiki/Université_de_Bordeaux
Université Bordeaux-Montaigne,15 458,/wiki/Université_Bordeaux-Montaigne
Université de Bretagne occidentale,19 986,/wiki/Université_de_Bretagne_occidentale
Université de Bretagne-Sud,8 245,/wiki/Université_de_Bretagne-Sud
Université Caen-Normandie,27 465,/wiki/Université_Caen-Normandie
Université de Savoie,13 774,/wiki/Université_de_Savoie
Université Clermont-Auvergne,31 282,/wiki/Université_Clermont-Auvergne
Université de Corse Pascal-Paoli,3 923,/wiki/Université_de_Corse_Pascal-Paoli
Université de Bourgogne,27 414,/wiki/Université_de_Bourgogne
Université Grenoble-Alpes,42 775,/wiki/Université_Grenoble-Alpes
Université de Guyane,2 580,/wiki/Université_de_Guyane
Université de La Réunion,13 554,/wiki/Université_de_La_Réunion
Université de La Rochelle,8 373,/wiki/Université_de_La_Rochelle
Université du Havre,7 880,/wiki/Université_du_Havre
Université du Maine (France),10 117,/wiki/Université_du_Maine_(France)
Université de Lille,69 330,/wiki/Université_de_Lille
Université de Limoges,15 956,/wiki/Université_de_Limoges
Université du Littoral Côte d'Opale,8 683,/wiki/Université_du_Littoral_Côte_d'Opale
Université Claude-Bernard-Lyon-I,38 002,/wiki/Université_Claude-Bernard-Lyon-I
Université Lumière Lyon-II,28 883,/wiki/Université_Lumière_Lyon-II
Université Jean-Moulin-Lyon-III,28 069,/wiki/Université_Jean-Moulin-Lyon-III
Université de Montpellier,41 343,/wiki/Université_de_Montpellier
Université Paul-Valéry-Montpellier,19 513,/wiki/Université_Paul-Valéry-Montpellier
Université de Haute-Alsace,9 651,/wiki/Université_de_Haute-Alsace
Université de Nantes,36 948,/wiki/Université_de_Nantes
Université Nice Sophia Antipolis,28 333,/wiki/Université_Nice_Sophia_Antipolis
Université de Nîmes,4 495,/wiki/Université_de_Nîmes
Université de la Nouvelle-Calédonie,2 960,/wiki/Université_de_la_Nouvelle-Calédonie
Université d'Orléans,16 629,/wiki/Université_d'Orléans
Université Panthéon-Sorbonne,41 987,/wiki/Université_Panthéon-Sorbonne
Université Panthéon-Assas,16 681,/wiki/Université_Panthéon-Assas
Université Sorbonne-Nouvelle-Paris-III,15 827,/wiki/Université_Sorbonne-Nouvelle-Paris-III
Sorbonne Université,54 711,/wiki/Sorbonne_Université
Université Paris-Descartes,31 690,/wiki/Université_Paris-Descartes
Université Paris-Diderot,25 624,/wiki/Université_Paris-Diderot
Université Paris-VIII,22 154,/wiki/Université_Paris-VIII
Université Paris-Ouest-Nanterre-La Défense,30 370,/wiki/Université_Paris-Ouest-Nanterre-La_Défense
Université Paris-Sud,21 964,/wiki/Université_Paris-Sud
Université Paris-Est Créteil Val-de-Marne,26 960,/wiki/Université_Paris-Est_Créteil_Val-de-Marne
Université Paris-XIII-Nord,20 600,/wiki/Université_Paris-XIII-Nord
Université Paris-Est Marne-la-Vallée,12 050,/wiki/Université_Paris-Est_Marne-la-Vallée
Université de Cergy-Pontoise,15 052,/wiki/Université_de_Cergy-Pontoise
Université d'Évry-Val-d'Essonne,9 024,/wiki/Université_d'Évry-Val-d'Essonne
Université de Versailles-Saint-Quentin-en-Yvelines,14 117,/wiki/Université_de_Versailles-Saint-Quentin-en-Yvelines
Université de Pau et des Pays de l'Adour,12 331,/wiki/Université_de_Pau_et_des_Pays_de_l'Adour
Université de Perpignan,9 057,/wiki/Université_de_Perpignan,@univ-perp.fr
Université de Poitiers,26 118,/wiki/Université_de_Poitiers
Université de la Polynésie française,2 767,/wiki/Université_de_la_Polynésie_française
Université de Reims-Champagne-Ardenne,22 858,/wiki/Université_de_Reims-Champagne-Ardenne
Université de Rennes I,27 464,/wiki/Université_de_Rennes_I
Université Rennes-II,20 687,/wiki/Université_Rennes-II
Université de Rouen,28 415,/wiki/Université_de_Rouen
Université Jean-Monnet-Saint-Étienne,18 779,/wiki/Université_Jean-Monnet-Saint-Étienne
Université de Strasbourg,48 927,/wiki/Université_de_Strasbourg
Université de Toulon,9 689,/wiki/Université_de_Toulon
Université Toulouse-I-Capitole,21 320,/wiki/Université_Toulouse-I-Capitole
Université Toulouse-Jean-Jaurès,27 244,/wiki/Université_Toulouse-Jean-Jaurès
Université Toulouse-III-Paul-Sabatier,31 478,/wiki/Université_Toulouse-III-Paul-Sabatier,@@univ-tlse3.fr
Institut national polytechnique de Toulouse,6 600,/wiki/Institut_national_polytechnique_de_Toulouse
Université de Tours,25 843,/wiki/Université_de_Tours
Université de Valenciennes,11 878,/wiki/Université_de_Valenciennes,@uphf.fr
