Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2014;MASTER LMD;0660437S;Perpignan - Via Domitia;A11;Montpellier;DEG;Droit, économie et gestion;disc03;Économie;18 mois après le diplôme;64;20;94;0;0;0;0;0;45.00;11.2;1780;0;0;0;1400;2110;Perpignan - Via Domitia_18
2014;MASTER LMD;0660437S;Perpignan - Via Domitia;A11;Montpellier;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;79;8;0;0;0;0;0;0;45.00;11.2;1780;0;0;0;1400;2110;Perpignan - Via Domitia_30
2014;MASTER LMD;0660437S;Perpignan - Via Domitia;A11;Montpellier;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;78;12;0;0;0;0;0;0;45.00;11.2;1780;0;0;0;1400;2110;Perpignan - Via Domitia_30
2014;MASTER LMD;0660437S;Perpignan - Via Domitia;A11;Montpellier;STS;Sciences, technologies et santé;disc12;E0emble sciences, technologies et santé;18 mois après le diplôme;67;17;0;0;0;0;0;0;45.00;11.2;1780;0;0;0;1400;2110;Perpignan - Via Domitia_18
2014;MASTER LMD;0660437S;Perpignan - Via Domitia;A11;Montpellier;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;72;10;0;0;0;0;0;0;45.00;11.2;1780;0;0;0;1400;2110;Perpignan - Via Domitia_30
2014;MASTER E0;0673021V;Strasbourg;A15;Strasbourg;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;83;100;99;90;87;91;1800;28100;40.00;9.4;1800;84;17;78;1430;2130;Strasbourg_30
2014;MASTER LMD;0673021V;Strasbourg;A15;Strasbourg;DEG;Droit, économie et gestion;disc01;E0emble formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;77;44;91;84;76;97;2150;33500;26.00;9.4;1800;64;50;60;1430;2130;Strasbourg_30
2014;MASTER LMD;0673021V;Strasbourg;A15;Strasbourg;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;93;2;0;0;0;0;0;0;26.00;9.4;1800;0;0;0;1430;2130;Strasbourg_18
2014;MASTER LMD;0673021V;Strasbourg;A15;Strasbourg;SHS;Sciences humaines et sociales;disc09;Psychologie;30 mois après le diplôme;85;5;94;96;61;63;0;0;26.00;9.4;1800;95;26;91;1430;2130;Strasbourg_30
2014;MASTER LMD;0673021V;Strasbourg;A15;Strasbourg;STS;Sciences, technologies et santé;disc12;E0emble sciences, technologies et santé;18 mois après le diplôme;79;28;85;89;58;96;1900;29600;26.00;9.4;1800;70;59;42;1430;2130;Strasbourg_18
