tour,tour_code,tour_country,date,year,month,tour_type,tour_surface,player_rank,player_seed,match_round,match_result,opp_seed,opp_name,opp_profile_link,opp_nationality,opp_rank,match_score,num_sets,first_set_result
Sydney,SYD,Australia,2014-01-05,2014,1,Premier,Hard,31,,Round 32,L,[Q],Bethanie Mattek-Sands,/players/player/130713/title/bethanie-mattek-sands-0,USA,48,6-4  6-3,Two,Loss
Australian open,AUS,Australia,2014-01-13,2014,1,Grand slam,Hard,31,30,Round 128,W,[W],Hao Chen Tang,/players/player/317359/title/hao-chen-tang-0,CHN,487,7-5  6-1,Two,Win
Australian open,AUS,Australia,2014-01-13,2014,1,Grand slam,Hard,31,30,Round 64,W,,Virginie Razzano,/players/player/180384/title/Virginie-RAZZANO,FRA,100,6-2  7-6(10),Two,Win
Australian open,AUS,Australia,2014-01-13,2014,1,Grand slam,Hard,31,30,Round 32,W,,Lauren Davis,/players/player/317414/title/lauren-davis-0,USA,68,6-2  6-2,Two,Win
Australian open,AUS,Australia,2014-01-13,2014,1,Grand slam,Hard,31,30,Round 16,W,[W],Casey Dellacqua,/players/player/310730/title/casey-Dellacqua,AUS,120,6-7(5)  6-2  6-0,Three,Loss
Australian open,AUS,Australia,2014-01-13,2014,1,Grand slam,Hard,31,30,Quarterfinals,W,[14],Ana Ivanovic,/players/player/311710/title/Ana-Ivanovic,SRB,14,5-7  7-5  6-2,Three,Loss
Australian open,AUS,Australia,2014-01-13,2014,1,Grand slam,Hard,31,30,Semifinals,L,[4],Na Li,/players/player/120330/title/Na-Li,CHN,4,6-2  6-4,Two,Loss
Fed cup week 1,FED,Canada,2014-02-08,2014,2,R1,Hard,19,,R1,W,,Jovana Jaksic,/players/player/317351/title/jovana-jaksic-0,SRB,149,6-1  6-0,Two,Win
Fed cup week 1,FED,Canada,2014-02-08,2014,2,R1,Hard,19,,R1,W,,Vesna Dolonc,/players/player/313653/title/vesna-dolonc-0,SRB,117,6-0  6-3,Two,Win
Doha - doha,DOH,Qatar,2014-02-10,2014,2,Premier 5,Hard,19,15,Round 64,L,,Bethanie Mattek-Sands,/players/player/130713/title/bethanie-mattek-sands-0,USA,42,7-5  6-1,Two,Loss
Dubai,DUB,United arab emirates,2014-02-17,2014,2,Premier,Hard,19,1,Round 32 - Q,W,,Vera Dushevina,/players/player/310625/title/vera-dushevina,RUS,139,5-7  6-3  6-3,Three,Loss
Dubai,DUB,United arab emirates,2014-02-17,2014,2,Premier,Hard,19,1,Round 16 - Q,W,,Tsvetana Pironkova,/players/player/311041/title/Tsvetana-PIRONKOVA,BUL,48,6-2  6-4,Two,Win
Dubai,DUB,United arab emirates,2014-02-17,2014,2,Premier,Hard,19,1,Quarterfinals - Q,L,,Annika Beck,/players/player/316979/title/Annika-Beck,GER,50,6-1  6-4,Two,Loss
Acapulco - acapulco,ACA,Mexico,2014-02-24,2014,2,International,Hard,19,2,Round 32,W,,Shahar Peer,/players/player/311168/title/Shahar-Peer,ISR,85,6-2  6-2,Two,Win
